pet_id,pet_name   ,species,breed               ,age_years,gender,color  ,arrival_date,adopted,adoption_date,adopter_id,adopter_name             ,adopter_age,adopter_city        ,adopter_previous_pets
P0001 ,Sandra     ,Dog    ,Yorkshire Terrier   ,        2,Female,White  ,2024-10-10  ,True   ,2025-03-11   ,A0001     ,Megan Rogers             ,         56,Mcgeestad           ,                    1
P0002 ,Brian      ,Cat    ,Tonkinese           ,        1,Female,Golden ,2023-09-09  ,True   ,2024-02-10   ,A0002     ,Jonathan Hawkins         ,         18,Geneshire           ,                    2
P0003 ,Timothy    ,Bird   ,Amazon Parrot       ,        4,Male  ,Spotted,2023-10-03  ,False  ,2023-10-17   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0004 ,Karl       ,Dog    ,German Shepherd     ,        1,Female,White  ,2024-07-28  ,True   ,2024-08-12   ,A0004     ,Natalie Rivera           ,         51,North Richard       ,                    3
P0005 ,Sarah      ,Rabbit ,Dutch               ,        1,Female,Spotted,2024-02-21  ,False  ,2024-02-26   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0006 ,Dawn       ,Dog    ,Labrador Retriever  ,       15,Male  ,Spotted,2025-06-14  ,False  ,2025-06-17   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0007 ,Chad       ,Dog    ,Siberian Husky      ,       15,Female,Mixed  ,2025-04-03  ,False  ,2025-04-21   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0008 ,Jeanne     ,Hamster,Campbell's Dwarf    ,        4,Female,Spotted,2024-06-17  ,True   ,2024-08-30   ,A0008     ,Joyce Garza              ,         74,Port Sarachester    ,                    0
P0009 ,Ryan       ,Cat    ,Abyssinian          ,       11,Female,Mixed  ,2023-09-08  ,False  ,2023-09-25   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0010 ,Richard    ,Dog    ,French Bulldog      ,        1,Male  ,Brown  ,2025-01-06  ,False  ,2025-02-03   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0011 ,Charles    ,Hamster,Chinese             ,        7,Male  ,Grey   ,2024-12-25  ,False  ,2025-01-11   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0012 ,James      ,Cat    ,Bengal              ,       12,Female,White  ,2024-06-12  ,False  ,2024-06-15   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0013 ,Erika      ,Cat    ,Bengal              ,       13,Male  ,Golden ,2025-05-04  ,False  ,2025-05-25   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
